,Price,MA 7,MA 20,MA 50,RSI 7,RSI 14,RSI 21,Gain,Loss,Average Gain (7),Average Loss (7),Average Gain (14),Average Loss (14),Average Gain (21),Average Loss (21)
44,108.9,110.5492429,121.759835,,38.07344313,39.32392224,43.09212729,2.91,0,1.515048079,2.464229743,1.567909061,2.419254404,1.822186736,2.406397116
45,108.4,108.6472429,120.892435,,37.29247079,38.94821449,42.86277025,0,0.5,1.298612639,2.183625494,1.455915557,2.282164804,1.797254636,2.395788943
46,102.769,106.3285286,119.445885,,29.37547078,34.90371157,42.27970024,0,5.631,1.113096548,2.676107567,1.351921588,2.521367318,1.764675679,2.409137449
47,98.399,104.6583857,117.827335,,24.63945369,32.11640276,41.49770433,0,4.37,0.954082755,2.9180922,1.25535576,2.65341251,1.726076016,2.43337339
48,99.99,103.4568143,116.096835,,29.46939202,34.17732879,41.00591002,1.591,0,1.045070933,2.501221886,1.279330349,2.463883045,1.693647203,2.436604271
49,100.42,103.5525714,114.668585,117.827694,30.86650373,34.75387648,40.63903553,0.43,0,0.957203657,2.143904473,1.218663896,2.287891399,1.658578463,2.422666185
50,102,102.9825714,113.309635,117.161694,36.27755166,36.93957343,40.4902026,1.58,0,1.046174563,1.837632406,1.244473617,2.124470584,1.629416372,2.394807434
51,106.55,102.6468571,112.030635,116.453494,49.54526039,42.87436247,40.82831574,4.55,0,1.546721054,1.575113491,1.480582645,1.972722686,1.6254785,2.355774389
52,107.9,102.5754286,111.055585,115.905494,52.93721665,44.54206703,41.24940194,1.35,0,1.518618046,1.350097278,1.471255313,1.831813922,1.620389907,2.307885002
53,110.91,103.7384286,110.202085,115.783694,59.94230679,48.17490145,41.91237305,3.01,0,1.731672611,1.157226238,1.581165648,1.700970071,1.625689083,2.253091728
54,109.015,105.255,109.198335,115.895394,54.03486196,46.12629787,42.32694448,0,1.895,1.484290809,1.26262249,1.468225244,1.714829351,1.618955832,2.205926526
55,107.25,106.2921429,108.495835,116.220194,48.80801643,44.23932456,42.54050839,0,1.765,1.272249265,1.334390706,1.363352013,1.718412969,1.602445996,2.16442482
56,108,107.375,107.837835,116.155194,51.1505645,45.26401187,42.80003388,0.75,0,1.197642227,1.143763462,1.319541154,1.595669186,1.583169626,2.115821899
57,102.443,107.4382857,106.894535,115.868254,36.65235523,39.47564112,42.57578099,0,5.557,1.026550481,1.774225824,1.225288215,1.878621387,1.556663952,2.099555419
58,103.691,107.0298571,105.993385,115.575474,41.03164727,41.29142318,42.5231777,1.248,0,1.058186126,1.520764992,1.226910485,1.744434145,1.532926913,2.07199397
59,103.39,106.3855714,105.212885,115.515274,40.24871507,40.9721526,42.45424112,0,0.301,0.90701668,1.346512851,1.139274022,1.641331706,1.503121664,2.03744725
60,99.66,104.7784286,104.691385,115.255674,31.54625346,37.13979866,42.08737756,0,3.73,0.777442868,1.687011015,1.057897306,1.790522298,1.46856553,2.02075981
61,93.3311,102.5378714,103.93789,114.862296,22.09102305,31.71860423,41.2588494,0,6.3289,0.666379601,2.350138013,0.982333213,2.114692134,1.4303662,2.036444487
62,95.3886,100.8433857,103.719835,114.394468,30.04363782,35.03837875,40.81165637,2.0575,0,0.865111087,2.014404011,1.05913084,1.963642696,1.40344929,2.03539494
63,97.504,99.34395714,103.295535,114.084348,37.67471996,38.35677967,40.69019214,2.1154,0,1.043723789,1.726632009,1.134578638,1.823382503,1.386319504,2.020691943
64,89.489,97.49338571,102.324985,113.579868,25.41830771,31.7409082,39.94010957,0,8.015,0.89462039,2.624970294,1.053537306,2.265640896,1.362905261,2.049467103
65,90.797,95.65138571,101.444835,113.052208,29.76838516,33.74919163,39.48404048,1.308,0,0.95367462,2.249974537,1.071713213,2.103809403,1.343418088,2.059015076
66,78.8,92.13852857,100.246385,112.338208,18.32879649,26.14975062,38.18282695,0,11.997,0.817435389,3.642406746,0.995162269,2.810465875,1.318371292,2.134414679
67,78.48,89.11281429,99.250435,111.624688,18.11220048,25.98169703,37.1181326,0,0.32,0.700658905,3.167777211,0.92407925,2.632575455,1.288956417,2.183622419
68,67.809,85.4668,97.641385,110.670868,12.40777105,21.10974457,35.50821273,0,10.671,0.600564775,4.239666181,0.858073589,3.206748637,1.256175862,2.281529265
69,68.0831,81.56601429,96.02454,109.57053,13.22675902,21.51684409,34.26307576,0.2741,0,0.55392695,3.633999584,0.81636119,2.977695163,1.222735438,2.345932613
70,77.502,78.70858571,94.79964,108.64297,36.88500065,34.10118955,34.43264709,9.4189,0,1.820351672,3.114856786,1.430828248,2.765002651,1.251193354,2.38254805
71,76.3915,76.83751429,93.291715,107.76078,35.55171748,33.42077475,34.49637883,0,1.1105,1.560301433,2.828520102,1.32862623,2.64682389,1.265912786,2.403784814
72,77,74.86651429,91.746715,106.84918,37.00734849,34.19556842,34.62149299,0.6085,0,1.4243298,2.424445802,1.277188642,2.457765041,1.273456454,2.404768671
73,85.75,75.85937143,90.488715,106.10618,54.31701456,44.24346697,35.76846511,8.75,0,2.470854114,2.078096402,1.810960882,2.282210395,1.33047539,2.389212849
74,93.804,78.04851429,89.728165,105.52226,64.7259162,51.57328752,37.60909075,8.054,0,3.268446383,1.781225487,2.256892248,2.119195367,1.422759723,2.36026107
75,88.0622,80.94182857,88.768775,104.768544,54.4139016,46.84521691,38.67976856,0,5.7418,2.801525472,2.347021846,2.095685659,2.377952841,1.488415235,2.35963063
76,95.58,84.86995714,88.147775,104.046144,63.33645678,52.92982165,40.32070175,7.5178,0,3.475278976,2.011733011,2.48297954,2.208099066,1.583027794,2.343064077
77,94,87.22681429,87.725625,103.310744,60.43600484,51.59312501,41.50877634,0,1.58,2.97881055,1.950056867,2.305623859,2.163234847,1.649493639,2.324349448
78,97.301,90.21388571,87.406125,102.564764,64.40874729,54.19574846,42.78644554,3.301,0,3.024837615,1.671477314,2.376722155,2.008718073,1.71498621,2.293260299
79,98.9796,93.35382857,87.185605,101.964656,66.40976877,55.50581668,43.97984043,1.6786,0,2.832517955,1.432694841,2.326856286,1.86523821,1.768202007,2.252280991
80,97.8,95.07525714,87.092605,101.337076,63.48356789,54.32983983,44.86535229,0,1.1796,2.427872533,1.396538435,2.160652266,1.816264052,1.799614889,2.211531346
81,88.7869,94.35852857,86.865395,100.470214,45.58020371,46.26434839,44.90384525,0,9.0131,2.0810336,2.484618659,2.006319961,2.330323763,1.81301578,2.224535503
82,91.572,94.85992857,86.674565,99.753634,50.60238823,48.79402129,45.19266949,2.7851,0,2.181614514,2.129673136,2.061947107,2.163872066,1.830568101,2.220018248
83,89.28,93.95992857,86.263365,98.979634,46.48371625,46.8397929,45.25374638,0,2.292,1.869955298,2.152862688,1.914665171,2.173024061,1.832443682,2.216820364
84,90.3672,93.44095714,86.307275,98.205178,48.79035496,47.90560157,45.40440442,1.0872,0,1.758133112,1.845310875,1.855560516,2.017808057,1.828905083,2.199129436
85,91.7024,92.64115714,86.352545,97.613226,51.76890189,49.25127381,45.65335201,1.3352,0,1.697714096,1.581695036,1.818391907,1.87367891,1.822657893,2.169727798
86,94.5806,92.01272857,87.141575,97.081638,57.9236734,52.12232319,46.12929056,2.8782,0,1.86635494,1.355738602,1.894092485,1.739844702,1.824738705,2.130966408
87,94.525,91.54487143,87.943825,96.545958,57.75756397,52.0610505,46.52261924,0,0.0556,1.599732806,1.170004516,1.758800165,1.619541509,1.814024138,2.085206318
88,96.9499,92.71101429,89.40087,96.050676,63.13654526,54.56944015,47.08265543,2.4249,0,1.717613833,1.002861014,1.806378725,1.503859972,1.809433171,2.033666065
89,94.13,93.07644286,90.703215,95.553276,53.83596136,51.21349061,47.31467672,0,2.8199,1.472240429,1.262438012,1.677351673,1.597862832,1.793376374,1.99694092
90,94.005,93.75144286,91.528365,95.231576,53.42892898,51.06357801,47.49942,0,0.125,1.261920367,1.099946867,1.557540839,1.492658344,1.768068945,1.954226917
91,98.5759,94.92411429,92.637585,95.035074,64.78687018,56.12160248,48.09957757,4.5709,0,1.734631743,0.942811601,1.772780779,1.386039891,1.766476698,1.906064283
92,101.5,96.32377143,93.862585,95.07008,70.20937868,59.03836569,48.88705209,2.9241,0,1.90455578,0.808124229,1.855017866,1.287037041,1.773051892,1.853781423
93,110.34,98.57511429,95.092085,95.15708,80.69465711,66.32604522,50.38625122,8.84,0,2.895333526,0.692677911,2.353945162,1.195105824,1.826493875,1.79849078
94,106.23,100.2472571,95.713385,95.10368,67.75861869,60.90091636,51.2216741,0,4.11,2.481714451,1.180866781,2.185806221,1.403312551,1.857694854,1.769080113
95,101.61,100.9129857,96.390775,94.96788,55.98801965,55.41397754,51.45890571,0,4.62,2.127183815,1.672171526,2.029677206,1.63307594,1.870527662,1.764465419
96,103.7,102.2801286,96.796775,94.9865,59.68425652,57.28870452,51.84238802,2.09,0,2.121871841,1.43328988,2.033985977,1.516427659,1.882496432,1.748695155
97,104.86,103.8308429,97.339775,95.11572,61.76359155,58.33582927,52.26272186,1.16,0,1.984461578,1.228534183,1.971558407,1.408111397,1.887351916,1.723925585
98,106.56,104.9714286,97.802725,95.24712,64.86216974,59.88788345,52.76468268,1.7,0,1.94382421,1.053029299,1.952161378,1.307532012,1.890041072,1.691978143
99,105.841,105.5915714,98.145795,95.35554,62.36828748,58.88871013,53.10992395,0,0.719,1.666135037,1.005310828,1.812721279,1.265494011,1.87937888,1.659279699
100,106.75,105.0787143,98.593295,95.45054,64.38788145,59.80183006,53.48275976,0.909,0,1.557972889,0.861694995,1.748169759,1.175101582,1.864073833,1.621299475
101,101.672,104.4275714,99.23755,95.35298,47.7027651,52.75285199,53.25959908,0,5.078,1.335405333,1.464024282,1.623300491,1.45388004,1.838899143,1.61381018
102,103.4,104.6832857,99.82895,95.26298,52.5811285,54.70924875,53.23455767,1.728,0,1.391490286,1.254877956,1.630779027,1.350031466,1.817593959,1.596718169
103,102.71,104.5418571,100.50045,95.09898,50.39133372,53.75212734,53.13930938,0,0.69,1.192705959,1.174181105,1.514294811,1.302886361,1.787837388,1.576597357
104,103.77,104.3861429,101.17059,94.99408,53.83698442,55.05303977,53.16120498,1.06,0,1.173747965,1.006440947,1.481845182,1.20982305,1.758595034,1.549447052
105,105.18,104.189,101.84447,94.95268,58.32868634,56.79403638,53.31798889,1.41,0,1.207498256,0.862663669,1.476713383,1.123407117,1.73235233,1.516743081
106,106.068,104.2214286,102.41884,94.91404,61.10907597,57.90004316,53.53946533,0.888,0,1.161855648,0.739426002,1.434662427,1.043163752,1.705185822,1.479727982
